shift,end_timestamp,living,arose_this_shift,ended_this_shift,replicated_this_shift,links_formed,classified,anomalous,unresolved,resource_flow,phase,model,duration_seconds,estimated_cost_usd,cumulative_cost_usd,new_categories
0,2026-08-17T21:45:13Z,0,0,0,0,0,0,0,0,0.6,claude,claude-haiku-4-5,0.0,0.0,0.0,
1,2026-08-17T21:45:18Z,0,0,0,0,0,0,0,0,0.775,claude,claude-haiku-4-5,1.9,0.000608,0.000608,
2,2026-08-17T21:45:31Z,1,1,0,0,0,1,0,0,0.9031,claude,claude-haiku-4-5,11.0,0.005809,0.006417,static_accumulator
3,2026-08-17T21:45:50Z,2,0,0,1,0,2,0,0,0.95,claude,claude-haiku-4-5,16.3,0.009791,0.016208,
4,2026-08-17T21:46:06Z,2,0,0,0,0,2,0,0,0.9031,claude,claude-haiku-4-5,13.6,0.008568,0.024776,
5,2026-08-17T21:46:25Z,2,0,0,0,1,2,0,0,0.775,claude,claude-haiku-4-5,17.1,0.009594,0.03437,
6,2026-08-17T21:46:44Z,2,0,0,0,0,2,0,0,0.6,claude,claude-haiku-4-5,16.7,0.010009,0.044379,
7,2026-08-17T21:47:22Z,4,3,1,0,0,4,0,0,0.425,claude,claude-haiku-4-5,35.5,0.022576,0.066955,
8,2026-08-17T21:47:54Z,6,0,0,2,0,5,0,0,0.2969,claude,claude-haiku-4-5,29.9,0.018735,0.08569,
9,2026-08-17T21:48:39Z,7,0,0,1,0,5,0,0,0.25,claude,claude-haiku-4-5,41.9,0.023876,0.109566,
10,2026-08-17T21:54:32Z,6,0,1,0,0,5,0,0,0.2969,claude,claude-haiku-4-5,25.6,0.018687,0.128253,
11,2026-08-17T21:55:02Z,5,0,1,0,0,5,0,0,0.425,claude,claude-haiku-4-5,28.1,0.018918,0.147171,
12,2026-08-17T21:55:27Z,5,0,0,0,1,5,0,0,0.6,claude,claude-haiku-4-5,23.0,0.016848,0.164019,
13,2026-08-17T21:56:12Z,9,3,0,1,0,5,0,0,0.775,claude,claude-haiku-4-5,42.1,0.02233,0.186349,
14,2026-08-17T21:57:13Z,18,10,1,0,0,5,0,0,0.9031,claude,claude-haiku-4-5,58.6,0.034844,0.221193,
15,2026-08-17T22:17:03Z,35,8,0,9,1,5,0,0,0.95,claude,claude-haiku-4-5,43.9,0.027073,0.248266,
16,2026-08-17T22:17:43Z,52,12,0,5,1,5,0,0,0.9031,claude,claude-haiku-4-5,39.6,0.024943,0.273209,
17,2026-08-17T22:18:25Z,54,2,4,4,10,5,0,0,0.775,claude,claude-haiku-4-5,40.5,0.028141,0.30135,
18,2026-08-17T22:19:21Z,49,4,9,0,12,5,0,0,0.6,claude,claude-haiku-4-5,55.4,0.029908,0.331258,
19,2026-08-17T22:20:09Z,43,1,10,3,8,5,0,0,0.425,claude,claude-haiku-4-5,46.6,0.031307,0.362565,
