shift,end_timestamp,living,arose_this_shift,ended_this_shift,replicated_this_shift,links_formed,classified,anomalous,unresolved,resource_flow,phase,model,duration_seconds,estimated_cost_usd,cumulative_cost_usd,new_categories
0,2026-08-18T17:33:28Z,0,0,0,0,0,0,0,0,0.6,claude,claude-haiku-4-5,10.7,0.0,0.0,
1,2026-08-18T17:33:39Z,0,0,0,0,0,0,0,0,0.775,claude,claude-haiku-4-5,8.3,0.000658,0.000658,
2,2026-08-18T17:33:57Z,1,1,0,0,0,1,0,0,0.9031,claude,claude-haiku-4-5,16.3,0.004171,0.004829,static_accumulator
3,2026-08-18T17:34:30Z,3,1,0,1,0,3,0,0,0.95,claude,claude-haiku-4-5,30.8,0.013255,0.018084,
4,2026-08-18T17:35:05Z,4,0,0,1,0,4,1,0,0.9031,claude,claude-haiku-4-5,31.9,0.015682,0.033766,
5,2026-08-18T17:35:47Z,5,0,0,1,0,5,0,0,0.775,claude,claude-haiku-4-5,39.9,0.019364,0.05313,
6,2026-08-18T17:36:35Z,5,0,0,0,1,5,0,0,0.6,claude,claude-haiku-4-5,45.8,0.023075,0.076205,
7,2026-08-18T17:37:44Z,9,3,0,1,1,5,0,0,0.425,claude,claude-haiku-4-5,66.1,0.034988,0.111193,
8,2026-08-18T17:38:51Z,12,1,1,3,0,5,0,0,0.2969,claude,claude-haiku-4-5,63.9,0.030088,0.141281,
9,2026-08-18T17:39:46Z,14,1,0,1,0,5,0,0,0.25,claude,claude-haiku-4-5,52.9,0.029356,0.170637,
10,2026-08-18T17:40:45Z,12,0,4,2,2,5,0,0,0.2969,claude,claude-haiku-4-5,56.0,0.030143,0.20078,zenith_static
11,2026-08-18T17:41:40Z,12,0,0,0,0,5,0,0,0.425,claude,claude-haiku-4-5,52.2,0.027372,0.228152,
12,2026-08-18T17:42:45Z,15,4,1,0,3,5,0,0,0.6,claude,claude-haiku-4-5,62.0,0.029961,0.258113,
13,2026-08-18T17:43:50Z,28,5,0,8,0,5,0,0,0.775,claude,claude-haiku-4-5,63.0,0.029704,0.287817,ascendant_dormant
14,2026-08-18T17:45:05Z,43,12,0,3,0,5,0,0,0.9031,claude,claude-haiku-4-5,71.4,0.042423,0.33024,
15,2026-08-18T17:46:20Z,63,16,1,5,8,5,0,0,0.95,claude,claude-haiku-4-5,73.0,0.032486,0.362726,
16,2026-08-18T17:47:27Z,82,9,2,12,10,5,0,0,0.9031,claude,claude-haiku-4-5,63.9,0.029228,0.391954,minimal_exchanger
17,2026-08-18T17:48:42Z,88,12,7,1,8,5,0,0,0.775,claude,claude-haiku-4-5,71.8,0.031098,0.423052,mobile_exchanger mobile_exchanger mobile_exchanger mobile_exchanger
18,2026-08-18T17:49:49Z,103,21,10,4,13,5,0,0,0.6,claude,claude-haiku-4-5,63.9,0.031382,0.454434,sustained_mobile_exchanger
19,2026-08-18T17:50:57Z,106,2,13,14,12,5,0,0,0.425,claude,claude-haiku-4-5,64.9,0.030693,0.485127,
20,2026-08-18T17:51:59Z,92,3,18,1,10,5,0,0,0.2969,claude,claude-haiku-4-5,59.6,0.030739,0.515866,marginal_mobile_nascent
21,2026-08-18T17:53:25Z,78,1,17,2,15,5,0,0,0.25,claude,claude-haiku-4-5,82.4,0.041818,0.557684,
22,2026-08-18T17:54:30Z,75,1,5,1,10,5,0,0,0.2969,claude,claude-haiku-4-5,62.1,0.029492,0.587176,mobile_resource_accumulator
23,2026-08-18T17:55:39Z,74,5,8,2,5,5,0,0,0.425,claude,claude-haiku-4-5,66.0,0.030963,0.618139,
24,2026-08-18T17:56:46Z,105,36,10,5,3,5,0,0,0.6,claude,claude-haiku-4-5,63.7,0.03069,0.648829,
25,2026-08-18T17:58:03Z,152,29,10,28,5,5,0,0,0.775,claude,claude-haiku-4-5,73.4,0.031316,0.680145,
26,2026-08-18T17:59:09Z,217,43,2,24,13,5,0,0,0.9031,claude,claude-haiku-4-5,63.0,0.029061,0.709206,
27,2026-08-18T18:00:20Z,294,70,15,22,33,5,0,0,0.95,claude,claude-haiku-4-5,67.8,0.031759,0.740965,
28,2026-08-18T18:01:40Z,346,69,40,23,37,5,0,0,0.9031,claude,claude-haiku-4-5,76.6,0.039288,0.780253,
29,2026-08-18T18:02:49Z,391,54,33,24,62,5,0,0,0.775,claude,claude-haiku-4-5,65.9,0.030851,0.811104,
